D	A	L
0,00000	0,15000	0,20833
0,20833	0,06250	0,04545
0,13158	0,14286	0,08000
0,25000	0,06250	0,10526
0,23333	0,17391	0,04167
0,21875	0,14444	0,18750
0,16667	0,13333	0,07143
0,11111	0,09524	0,16667
0,19231	0,06250	0,07692
0,00000	0,12000	0,08824
0,31579	0,23529	0,09091
0,03704	0,13158	0,10000
0,17308	0,20833	0,10870
0,13889	0,23913	0,00000
0,13636	0,14286	0,05000
0,09615	0,06061	0,07692
0,14286	0,15000	0,10714
0,10526	0,15152	0,11111
0,20000	0,21429	0,16667
0,10526	0,21429	0,18750
0,18750	0,15909	0,08333
0,11111	0,13333	0,10526
0,10870	0,20000	0,12500
0,15000	0,26000	0,12500
0,00000	0,12500	0,06667
0,22500	0,16667	0,18519
0,14286	0,14286	0,13636
	0,11111	0,13333
	0,23684	0,04167
	0,16667	0,16667
	0,14286	0,06667
		0,10526
		0,09091
		0,12500
		0,11765
		0,19444
		0,08333
		0,06250
		0,18750
		0,26923
		0,09524
		0,14815
		0,16667
		0,23077
		0,10417
		0,16667
		0,16667
		0,12500
		0,33333
		0,25000
		0,15000
		0,18750
		0,23810
		0,10526
		0,10526
		0,38710
		0,20588
