L	D	A
0,25000	0,90323	0,73585
0,25000	1,00000	0,84615
0,00000	0,66667	0,66667
0,21212	0,63636	0,71739
0,27273	0,53333	0,57500
0,17500	0,63636	0,77778
0,08000	0,78846	0,64516
0,29167	1,00000	0,48276
0,25000	0,60000	0,83784
0,26667	0,57143	0,66038
0,22222	0,81818	1,00000
0,21875	0,74194	0,77778
0,31034	0,55172	1,00000
0,36364	0,46875	0,48387
0,31373	0,68627	0,88095
0,09091	0,63636	1,00000
0,22642	0,84848	0,84906
0,30000	0,50000	0,65306
0,24000	0,77143	0,78788
0,12245	0,50000	1,00000
0,06452	0,60870	0,67925
0,22500	0,53333	1,00000
0,04255	0,84000	0,71739
0,07317	1,00000	0,60606
0,17391	0,69565	0,86538
0,11765	0,48485	1,00000
0,33333	0,43333	0,77419
0,39216		0,92308
0,29787		1,00000
0,36364		1,00000
0,19444		1,00000
0,27451		
0,29412		
0,24528		
0,25000		
0,08824		
0,08511		
0,14706		
0,00000		
0,12000		
0,34615		
0,25000		
0,28571		
0,00000		
0,40385		
0,15385		
0,17647		
0,00000		
0,24000		
0,38710		
0,12500		
0,21875		
0,09091		
0,06250		
0,11765		
0,00000		
0,14706		
