A	L	D
0,01887	0,21875	0,90323
0,15385	0,25000	0,35000
0,28571	0,00000	0,23333
0,00000	0,15152	0,36364
0,15000	0,23864	0,36667
0,15741	0,10000	0,40909
0,00000	0,13000	0,22115
0,08621	0,33333	0,16667
0,00000	0,25000	0,37143
0,03774	0,21667	0,57143
0,00000	0,33333	0,81818
0,11111	0,21875	0,54839
0,16129	0,20690	0,56897
0,25806	0,36364	0,28125
0,02381	0,31373	0,54902
0,00000	0,04545	0,59091
0,00000	0,34906	0,22727
0,09184	0,30000	0,50000
0,09091	0,08000	0,51429
0,00000	0,18367	0,23438
0,12264	0,12903	0,60870
0,00000	0,22500	0,48333
0,04348	0,04255	0,62000
0,25758	0,10976	0,29688
0,00000	0,17391	0,60870
0,00000	0,05882	0,25758
0,06452	0,26667	0,43333
0,22115	0,19608	
0,00000	0,34043	
0,00000	0,22727	
0,00000	0,23611	
	0,29412	
	0,34314	
	0,24528	
	0,39063	
	0,20588	
	0,46809	
	0,14706	
	0,00000	
	0,16000	
	0,23077	
	0,22222	
	0,28571	
	0,00000	
	0,20192	
	0,09615	
	0,20588	
	0,67647	
	0,28000	
	0,19355	
	0,12500	
	0,21875	
	0,04545	
	0,06250	
	0,07353	
	0,00000	
	0,16176	
