L	D	A
0,00173	0,00034	0,02605
0,00051	0,04410	0,04066
0,00000	0,01014	0,01607
0,00621	0,00500	0,02893
0,00165	0,02265	0,03936
0,00485	0,04536	0,02032
0,00000	0,04294	0,03348
0,00000	0,03169	0,03228
0,00000	0,00608	0,01574
0,00166	0,00503	0,01041
0,01138	0,04397	0,08299
0,00000	0,00426	0,06740
0,00291	0,00572	0,06207
0,00409	0,01405	0,02518
0,00142	0,00215	0,04037
0,00165	0,00444	0,06200
0,00091	0,01989	0,03374
0,00000	0,01081	0,02881
0,00425	0,04632	0,04794
0,00106	0,02205	0,04947
0,00026	0,00338	0,03656
0,00338	0,01167	0,04014
0,00011	0,00158	0,04237
0,00056	0,02803	0,01932
0,00000	0,01083	0,03267
0,00281	0,01760	0,03095
0,00087	0,00103	0,04290
0,01797		0,10622
0,00046		0,04491
0,01199		0,04860
0,00345		0,08896
0,00124		
0,00870		
0,00211		
0,00080		
0,00269		
0,00024		
0,00145		
0,00000		
0,00443		
0,01573		
0,00030		
0,01376		
0,00000		
0,00143		
0,00518		
0,00301		
0,00000		
0,00215		
0,01734		
0,00382		
0,00000		
0,00734		
0,00000		
0,00289		
0,00000		
0,00900		
