A	L	D
0,45000	0,83333	0,94737
0,93750	0,50000	0,75000
0,35714	0,32000	0,63158
0,43750	0,73684	0,50000
0,21739	0,54167	0,60000
0,28889	0,25000	0,81250
0,40000	0,71429	0,97222
0,76190	0,66667	0,83333
0,50000	0,84615	0,69231
0,72000	0,41176	0,65217
0,52941	0,50000	0,52632
0,68421	0,65000	0,74074
0,70833	0,26087	0,53846
0,39130	0,36842	0,72222
0,42857	0,90000	0,45455
0,57576	0,53846	0,84615
0,70000	0,71429	0,71429
0,39394	0,72222	0,78947
0,57143	0,33333	0,60000
0,71429	0,62500	0,68421
0,54545	0,62500	0,50000
0,60000	0,68421	0,72222
0,70000	0,37500	0,65217
0,72000	0,62500	1,00000
0,70000	0,60000	0,63636
0,66667	0,22222	0,70000
0,71429	0,59091	0,50000
0,61111	0,46667	
0,57895	0,50000	
0,75000	0,71429	
0,71429	0,53333	
	0,57895	
	0,36364	
	0,78125	
	0,58824	
	0,50000	
	0,66667	
	0,68750	
	0,50000	
	0,61538	
	0,85714	
	0,66667	
	0,50000	
	0,46154	
	0,70833	
	0,70833	
	0,55556	
	0,00000	
	0,62500	
	0,55000	
	0,40000	
	0,25000	
	0,47619	
	0,47368	
	0,47368	
	0,45161	
	0,52941	
