TEAM	DBA 1314	DBA 1415	DBA 1516	DBA 1617	DBA 1718	DBA 1819	DBA 1920	A	D	L
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.020	0.021	0.023	0.055	0.026	0.021	0.000	0.000	0.025	0.012	0.018
0.039	0.057	0.015	0.040	0.048	0.048	0.067	0.064	0.055	0.046	0.052
0.059	0.001	0.025	0.016	0.012	0.013	0.016	0.008	0.020	0.010	0.010
0.078	0.004	0.012	0.014	0.001	0.011	0.007	0.000	0.010	0.000	0.008
0.098	0.003	0.024	0.009	0.009	0.010	0.013	0.012	0.008	0.014	0.011
0.118	0.002	0.005	0.010	0.014	0.004	0.008	0.002	0.003	0.014	0.005
0.137	0.000	0.018	0.007	0.005	0.002	0.000	0.003	0.000	0.003	0.007
0.157	0.020	0.029	0.002	0.017	0.006	0.008	0.014	0.007	0.015	0.015
0.176	0.002	0.021	0.034	0.000	0.006	0.003	0.005	0.009	0.010	0.009
0.196	0.000	0.009	0.013	0.002	0.010	0.011	0.004	0.004	0.005	0.010
0.216	0.000	0.005	0.021	0.008	0.004	0.004	0.002	0.009	0.007	0.004
0.235	0.027	0.009	0.018	0.012	0.005	0.001	0.029	0.019	0.003	0.019
0.255	0.016	0.006	0.017	0.025	0.014	0.027	0.018	0.026	0.014	0.016
0.275	0.013	0.017	0.013	0.020	0.024	0.021	0.016	0.006	0.015	0.026
0.294	0.023	0.022	0.015	0.019	0.028	0.011	0.019	0.023	0.013	0.019
0.314	0.008	0.011	0.015	0.032	0.023	0.005	0.015	0.010	0.015	0.018
0.333	0.007	0.018	0.014	0.009	0.007	0.006	0.003	0.006	0.014	0.007
0.353	0.002	0.023	0.007	0.012	0.013	0.013	0.004	0.014	0.011	0.007
0.373	0.082	0.010	0.007	0.006	0.004	0.011	0.002	0.020	0.005	0.016
0.392	0.009	0.008	0.033	0.015	0.005	0.010	0.011	0.026	0.010	0.007
0.412	0.002	0.005	0.017	0.013	0.010	0.008	0.010	0.015	0.009	0.007
0.431	0.006	0.021	0.003	0.015	0.009	0.029	0.018	0.012	0.023	0.014
0.451	0.010	0.008	0.018	0.007	0.019	0.000	0.024	0.013	0.003	0.017
0.471	0.002	0.025	0.006	0.013	0.019	0.027	0.009	0.016	0.012	0.015
0.490	0.011	0.012	0.026	0.003	0.016	0.002	0.016	0.012	0.003	0.017
0.510	0.009	0.029	0.006	0.026	0.032	0.021	0.028	0.014	0.030	0.023
0.529	0.002	0.018	0.004	0.012	0.007	0.011	0.009	0.013	0.005	0.008
0.549	0.000	0.005	0.011	0.021	0.044	0.006	0.012	0.016	0.012	0.014
0.569	0.003	0.041	0.011	0.025	0.014	0.020	0.005	0.016	0.009	0.020
0.588	0.000	0.005	0.007	0.003	0.024	0.010	0.007	0.012	0.008	0.006
0.608	0.001	0.010	0.027	0.022	0.005	0.014	0.008	0.015	0.007	0.015
0.627	0.006	0.001	0.019	0.007	0.001	0.012	0.006	0.014	0.006	0.005
0.647	0.000	0.002	0.013	0.008	0.019	0.045	0.016	0.027	0.007	0.016
0.667	0.013	0.009	0.013	0.020	0.009	0.010	0.016	0.007	0.022	0.012
0.686	0.078	0.032	0.010	0.007	0.013	0.051	0.027	0.031	0.015	0.037
0.706	0.046	0.014	0.020	0.017	0.011	0.016	0.020	0.028	0.001	0.024
0.725	0.028	0.004	0.004	0.031	0.010	0.013	0.010	0.004	0.009	0.022
0.745	0.006	0.008	0.010	0.021	0.012	0.018	0.014	0.019	0.017	0.008
0.765	0.004	0.057	0.008	0.024	0.033	0.013	0.039	0.023	0.017	0.030
0.784	0.004	0.008	0.021	0.028	0.028	0.017	0.021	0.014	0.028	0.017
0.804	0.014	0.071	0.017	0.021	0.026	0.035	0.014	0.021	0.035	0.026
0.824	0.023	0.031	0.004	0.029	0.026	0.003	0.015	0.022	0.017	0.014
0.843	0.014	0.001	0.003	0.030	0.019	0.052	0.033	0.028	0.029	0.021
0.863	0.036	0.017	0.018	0.023	0.018	0.019	0.040	0.040	0.017	0.020
0.882	0.021	0.012	0.036	0.027	0.032	0.041	0.023	0.026	0.041	0.024
0.902	0.015	0.034	0.022	0.036	0.021	0.051	0.048	0.026	0.041	0.037
0.922	0.041	0.035	0.022	0.029	0.020	0.020	0.039	0.030	0.034	0.026
0.941	0.045	0.031	0.036	0.032	0.043	0.040	0.046	0.023	0.045	0.046
0.961	0.019	0.042	0.036	0.047	0.079	0.075	0.095	0.047	0.076	0.062
0.980	0.053	0.037	0.085	0.024	0.057	0.000	0.002	0.028	0.053	0.023
1.000	0.192	0.068	0.108	0.090	0.067	0.076	0.101	0.086	0.131	0.087
